Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
"Verify by clicking on ""Cancel"" the entered data is not modified in the list",RET-82,10081,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,08/Sep/21 11:10 AM,08/Sep/21 11:11 AM,09/Sep/21 9:55 AM,08/Sep/21 11:11 AM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000hr:,,RET Sprint 1,,,,,,,,Done
"Validate ""Cancel"" icon in the edit marketing list page",RET-81,10080,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,08/Sep/21 11:04 AM,09/Sep/21 10:25 AM,09/Sep/21 10:25 AM,08/Sep/21 11:07 AM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000hj:,,RET Sprint 1,,,,,,,,Done
"Validate ""Save"" icon in the edit marketing list page",RET-80,10079,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,08/Sep/21 10:57 AM,09/Sep/21 10:25 AM,09/Sep/21 10:25 AM,08/Sep/21 10:58 AM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000hb:,,RET Sprint 1,,,,,,,,Done
"Verify by clicking on ""Save"" the edited data is reflecting in the list or not",RET-79,10078,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,08/Sep/21 10:54 AM,08/Sep/21 10:55 AM,08/Sep/21 10:54 AM,08/Sep/21 10:55 AM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000h3:,,RET Sprint 1,,,,,,,,Done
"Verify by editing characters in the ""Examples"" text field",RET-78,10077,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,08/Sep/21 10:52 AM,08/Sep/21 10:53 AM,08/Sep/21 10:53 AM,08/Sep/21 10:53 AM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000gv:,,RET Sprint 1,,,,,,,,Done
"Verify by editing characters in the ""Tracking code"" text field",RET-77,10076,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,08/Sep/21 10:51 AM,08/Sep/21 10:53 AM,08/Sep/21 10:51 AM,08/Sep/21 10:52 AM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000gn:,,RET Sprint 1,,,,,,,,Done
"Verify by editing characters in the ""Campaign description"" text field",RET-76,10075,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,08/Sep/21 10:50 AM,08/Sep/21 10:52 AM,08/Sep/21 10:50 AM,08/Sep/21 10:51 AM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000gf:,,RET Sprint 1,,,,,,,,Done
"Verify by editing characters in the ""Campaign name"" text field",RET-75,10074,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,08/Sep/21 10:41 AM,08/Sep/21 10:50 AM,08/Sep/21 10:49 AM,08/Sep/21 10:43 AM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000g7:,,RET Sprint 1,,,,,,,,Done
"Verify after clicking ""Edit"" there is a text field to edit ""Campaign name"" in the Edit Marketing tracking list",RET-74,10073,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,08/Sep/21 10:39 AM,08/Sep/21 10:40 AM,08/Sep/21 10:43 AM,08/Sep/21 10:40 AM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000fz:,,RET Sprint 1,,,,,,,,Done
Verify that successful modification message is shown in the page after editing data,RET-73,10072,Test,Done,RET,Retail,software,Madhu Agarwal,612ef8b16a4c09006a9fe980,,Medium,Done,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,Madhu Agarwal,612ef8b16a4c09006a9fe980,08/Sep/21 10:36 AM,08/Sep/21 10:38 AM,08/Sep/21 10:44 AM,08/Sep/21 10:38 AM,,0,,,Madhu Agarwal,612ef8b16a4c09006a9fe980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000fr:,,RET Sprint 1,,,,,,,,Done
